JOGO,RESULTADO,CORINTHIANS,GOL COR,GOL VIS,VISITANTE,CIDADE - VISITANTE,UF,PAIS,DIA,MES,ANO,HORA,DIA-SEMANA,CAMPEONATO,CAPITÃO,TÉCNICO,TÉCNICO - VISITANTE,PUBLICO,RENDA,CAMISA,SAÍDA DE JOGO,1 TEMPO,2 TEMPO,ARTILHEIROS,ARTILHEIROS - VISITANTE,NUM-GOLS,PRIMEIRO GOL,GOL-SUL,GOL-NORTE,GOL VIS-SUL,GOL VIS-NORTE,GOL-1T,GOL-2T,GOL VIS-1T,GOL VIS-2T,ÁRBITRO,UF-ÁRBITRO,VAR
1,D,CORINTHIANS,0,1,FIGUEIRENSE,FLORIANÓPOLIS,SC,BRA,18,5,14,16:00,DOM,BRASILEIRO,RALF,MANO MENEZES,GUTO FERREIRA,36.123,"3.029.801,70",1,CORINTHIANS,SUL,NORTE,X,1 Giovanni Augusto,1,VISITANTE,0,0,0,1,0,0,0,1,JAILSON MACEDO DE FREITAS,BA,NÃO
2,E,CORINTHIANS,1,1,BOTAFOGO,RIO DE JANEIRO,RJ,BRA,1,6,14,16:00,DOM,BRASILEIRO,RALF,MANO MENEZES,VAGNER MANCINI,37.119,"2.616.819,50",1,CORINTHIANS,SUL,NORTE,1 Jadson,1 Edilson,2,CORINTHIANS,0,1,0,1,1,0,0,1,LEANDRO PEDRO VUADEN,RS,NÃO
3,V,CORINTHIANS,2,1,INTERNACIONAL,PORTO ALEGRE,RS,BRA,17,7,14,19:30,QUI,BRASILEIRO,RALF,MANO MENEZES,ABEL BRAGA,32.644,"2.556.385,50",1,VISITANTE,NORTE,SUL,"1 Guerrero, 1 Fagner",1 Cláudio Winck,3,CORINTHIANS,2,0,1,0,2,0,0,1,WAGNER REWAY,MT,NÃO
4,V,CORINTHIANS,3,0,BAHIA,SALVADOR,BA,BRA,23,7,14,22:00,QUA,COPA DO BRASIL,RALF,MANO MENEZES,MARQUINHOS SANTOS,24.252,"1.389.973,50",1,VISITANTE,NORTE,SUL,"1 Elias, 1 Romero, 1 Renato Augusto",X,3,CORINTHIANS,2,1,0,0,2,1,0,0,IGOR JUNIO BENEVENUTO,MG,NÃO
5,V,CORINTHIANS,2,0,PALMEIRAS,SÃO PAULO,SP,BRA,27,7,14,16:00,DOM,BRASILEIRO,RALF,MANO MENEZES,RICARDO GARECA,31.031,"2.206.184,00",1,VISITANTE,NORTE,SUL,"1 Guerrero, 1 Petros",X,2,CORINTHIANS,0,2,0,0,0,2,0,0,SANDRO MEIRA RICCI,PE,NÃO
6,E,CORINTHIANS,1,1,BAHIA,SALVADOR,BA,BRA,16,8,14,21:00,SÁB,BRASILEIRO,RALF,MANO MENEZES,GILSON KLEINA,31.014,"2.096.556,50",1,VISITANTE,NORTE,SUL,1 Gil,1 Kieza,2,VISITANTE,1,0,0,1,1,0,1,0,ANDERSON DARONCO,RS,NÃO
7,V,CORINTHIANS,5,2,GOIÁS,GOIÂNIA,GO,BRA,21,8,14,19:30,QUI,BRASILEIRO,RALF,MANO MENEZES,RICARDO DRUBSCKY,26.486,"1.465.164,00",1,VISITANTE,NORTE,SUL,"1 Guerrero, 1 Elias, 3 Luciano","1 Thigo Mendes, 1 Jackson Souza",7,VISITANTE,1,4,1,1,1,4,1,1,MARCELO DE LIMA HENRIQUE,RJ,NÃO
8,E,CORINTHIANS,1,1,FLUMINENSE,RIO DE JANEIRO,RJ,BRA,31,8,14,16:00,DOM,BRASILEIRO,RALF,MANO MENEZES,CRISTÓVÃO BORGES,34.889,"2.519.703,00",1,CORINTHIANS,NORTE,SUL,1 Romarinho,1 Fred,2,VISITANTE,0,1,0,1,0,1,1,0,PAULO HENRIQUE DE GODOY BEZERRA,SC,NÃO
9,V,CORINTHIANS,3,1,BRAGANTINO,BRAGANÇA PAULISTA,SP,BRA,3,9,14,22:00,QUA,COPA DO BRASIL,RALF,MANO MENEZES,PC GUSMÃO,27.817,"1.497.128,00",1,CORINTHIANS,NORTE,SUL,"1 Renato Augusto, 1 Ralf, 1 Felipe",1 Guilherme Mattis,4,CORINTHIANS,3,0,1,0,3,0,0,1,VINÍCIUS FURLAN,SP,NÃO
10,V,CORINTHIANS,1,0,ATLÉTICO (MG),BELO HORIZONTE,MG,BRA,11,9,14,19:30,QUI,BRASILEIRO,RALF,MANO MENEZES,LEVIR CULPI,24.784,"1.335.654,50",2,VISITANTE,NORTE,SUL,1 Petros,X,1,CORINTHIANS,1,0,0,0,1,0,0,0,DEWSON FERNANDO SILVA,PA,NÃO
11,E,CORINTHIANS,1,1,CHAPECOENSE,CHAPECÓ,SC,BRA,18,9,14,19:30,QUI,BRASILEIRO,RALF,MANO MENEZES,JORGINHO,25.537,"1.359.473,00",1,CORINTHIANS,NORTE,SUL,1 Malcom,1 Ferrugem (GC),2,CORINTHIANS,1,0,1,0,1,0,0,1,FELIPE DUARTE VAREJÃO,ES,NÃO
12,V,CORINTHIANS,3,2,SÃO PAULO,SÃO PAULO,SP,BRA,21,9,14,16:00,DOM,BRASILEIRO,RALF,MANO MENEZES,MURICY RAMALHO,34.688,"2.405.986,50",1,VISITANTE,NORTE,SUL,"2 Fábio Santos, 1 Guerrero","1 Souza, 1 Édson Silva",5,VISITANTE,1,2,0,2,1,2,2,0,LUIZ FLÁVIO DE OLIVEIRA,SP,NÃO
