JOGO,RES,CORINTHIANS,GOL COR,X,GOL VIS,VISITANTE,DIA,CAMPEONATO,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,R1,R2,R3,R4,R5,R6-A,R7-A,R8-A,R9-A,R10-A,R11-A,R12-A
1,D,Corinthians,0,x,1,Figueirense,18/05/2014,Brasileiro,Cássio,Fagner,Gil,Cleber,Fábio Santos,Ralf,Guilherme dos Santos,Renato Augusto,Jadson,Luciano,Guerrero,Romarinho,Danilo,Paulo Victor,,,,,,,,,
2,E,Corinthians,1,x,1,Botafogo,01/06/2014,Brasileiro,Walter,Fagner,Gil,Cleber,Fábio Santos,Ralf,Petros,Bruno Henrique,Jadson,Romarinho,Guerrero,Luciano,Renato Augusto,Zé Paulo,,,,,,,,,
3,V,Corinthians,2,x,1,Internacional,17/07/2014,Brasileiro,Cássio,Fagner,Gil,Cleber,Fábio Santos,Ralf,Elias,Petros,Jadson,Luciano,Guerrero,Romarinho,Bruno Henrique,Romero,,,,,,,,,
4,V,Corinthians,3,x,0,Bahia,23/07/2014,Copa do Brasil,Cássio,Fagner,Gil,Cleber,Fábio Santos,Ralf,Elias,Petros,Jadson,Romero,Guerrero,Romarinho,Renato Augusto,Luciano,,,,,,,,,
5,V,Corinthians,2,x,0,Palmeiras,27/07/2014,Brasileiro,Cássio,Fagner,Gil,Cleber,Fábio Santos,Ralf,Elias,Renato Augusto,Petros,Romero,Guerrero,Romarinho,Danilo,Luciano,,,,,,,,,
6,E,Corinthians,1,x,1,Bahia,16/08/2014,Brasileiro,Cássio,Fagner,Gil,Cleber,Fábio Santos,Ralf,Elias,Petros,Jadson,Romero,Guerrero,Renato Augusto,Romarinho,Luciano,,,,,,,,,
7,V,Corinthians,5,x,2,Goiás,21/08/2014,Brasileiro,Cássio,Fagner,Gil,Anderson Martins,Fábio Santos,Ralf,Elias,Renato Augusto,Jadson,Romero,Guerrero,Luciano,Lodeiro,Bruno Henrique,,,,,,,,,
8,E,Corinthians,1,x,1,Fluminense,31/08/2014,Brasileiro,Cássio,Ferrugem,Gil,Anderson Martins,Fábio Santos,Ralf,Elias,Lodeiro,Jadson,Romero,Romarinho,Renato Augusto,Luciano,Fagner,,,,,,,,,
9,V,Corinthians,3,x,1,Bragantino,03/09/2014,Copa do Brasil,Cássio,Fagner,Felipe,Anderson Martins,Fábio Santos,Ralf,Bruno Henrique,Renato Augusto,Luciano,Romero,Romarinho,Jadson,Petros,Danilo,,,,,,,,,
10,V,Corinthians,1,x,0,Atlético (MG),11/09/2014,Brasileiro,Cássio,Fagner,Gil,Anderson Martins,Fábio Santos,Ralf,Elias,Renato Augusto,Petros,Luciano,Romero,Guerrero,Malcom,Bruno Henrique,,,,,,,,,
