JOGADOR,POSIÇÃO,JOGOS,VITÓRIAS,EMPATES,DERROTAS,DESEMPENHO (%),GOLS,ASSISTÊNCIAS,TITULAR,RESERVA,SUBSTITUÍDO,CAPITÃO,CA,CV,BRASILEIRO,PAULISTA,COPA DO BRASIL,LIBERTADORES,SULAMERICANA,AMISTOSOS,GOLS NORTE,GOLS SUL,GOLS 1-TEMPO,GOLS 2-TEMPO,2 GOLS,HAT-TRICK,GOLS DE PÊNALTI,PÊNALTIS PERDIDOS,GOLS DE FALTA,DENTRO DA ÁREA,FORA DA ÁREA,PÉ DIREITO,PÉ ESQUERDO,CABEÇA,GOLS CONTRA,GOLS (OUTROS ESTILOS)
CÁSSIO,GOL,280,163,79,38,"67,61904762",0,1,279,1,9,156,8,1,154,63,26,19,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAGNER,LD,254,150,67,37,"67,84776903",9,36,239,15,25,37,62,3,141,60,24,17,9,3,4,5,5,4,1,0,1,0,0,7,2,9,0,0,1,0
GIL,ZAG,168,94,50,24,"65,87301587",13,4,164,4,2,16,24,0,107,30,12,10,8,1,4,8,6,6,0,0,0,0,0,12,0,3,1,8,0,0
ROMERO,ATA,119,71,33,15,"68,90756303",27,12,82,37,40,1,13,0,61,29,12,8,6,3,15,12,11,16,6,0,0,1,0,26,1,16,5,6,1,0
JADSON,MC,112,66,31,15,"68,1547619",24,31,86,26,47,6,16,1,64,22,9,8,6,3,16,8,10,14,1,0,7,2,4,15,9,21,3,0,0,0
GABRIEL,VOL,110,57,31,22,"61,21212121",3,2,100,10,34,3,21,3,67,23,7,3,7,3,0,3,2,1,0,0,0,0,0,3,0,2,0,1,0,0
MATEUS VITAL,MC,108,53,31,24,"58,64197531",8,4,56,52,41,0,6,0,63,23,10,4,5,3,4,4,4,4,0,0,0,1,0,4,4,7,0,1,0,0
FÁBIO SANTOS,LE,102,63,28,11,"70,91503268",13,2,94,8,11,6,12,3,63,15,11,8,4,1,7,6,6,7,2,0,11,0,0,13,0,0,12,1,0,0
RENATO AUGUSTO,MC,101,70,23,8,"76,89768977",16,30,88,13,44,3,4,0,61,18,10,8,3,1,7,9,6,10,1,0,1,0,0,8,8,14,0,2,0,0
MAYCON,VOL,90,56,25,9,"71,48148148",9,7,72,18,23,0,8,1,45,21,7,10,7,0,4,5,6,3,1,0,0,0,1,6,3,0,6,1,0,1
RALF,VOL,87,56,20,11,"72,03065134",4,4,77,10,12,26,8,0,51,17,9,6,2,2,2,2,1,3,0,0,0,0,0,2,2,2,0,2,0,0
JÔ,ATA,84,46,27,11,"65,47619048",30,6,62,22,25,7,0,0,49,22,3,3,6,1,18,12,10,20,2,0,1,4,0,28,2,10,15,4,0,1
PEDRINHO,MC,78,45,23,10,"67,52136752",6,8,47,31,27,0,8,1,38,19,7,5,7,2,5,1,2,4,0,0,0,0,0,2,4,0,6,0,0,0
RODRIGUINHO,MC,76,46,21,9,"69,73684211",14,14,72,4,21,14,10,0,42,19,5,6,2,2,8,6,7,7,1,0,0,1,0,11,3,4,6,4,0,0
BALBUENA,ZAG,76,47,17,12,"69,29824561",8,3,76,0,4,15,9,0,40,19,7,6,3,1,3,5,6,2,0,0,0,0,0,8,0,1,0,6,0,1
GUSTAVO SILVA,ATA,75,37,24,14,"60",14,6,35,40,31,0,3,0,49,13,5,3,4,1,6,8,8,6,2,0,0,0,0,14,0,9,4,0,0,1
CLAYSON,ATA,65,38,17,10,"67,17948718",7,10,49,16,31,0,11,1,41,12,6,1,5,0,4,3,2,5,1,0,2,0,0,7,0,6,1,0,0,0
ROGER GUEDES,ATA,64,41,15,8,"71,875",31,4,59,5,17,0,9,0,35,14,8,7,0,0,16,15,15,16,4,1,3,1,1,30,1,21,5,4,0,1
GIULIANO,MC,64,39,20,5,"71,35416667",7,11,39,25,26,1,2,0,33,14,7,7,3,0,1,6,4,3,1,0,0,0,0,7,0,4,2,1,0,0
